common_name,AM35,AM36,AM38,AM40,AM41,AM49,AM56
Coal Tit,0,5,0,0,0,0,0
Common Buzzard,0,2,0,0,0,0,0
Common Chiffchaff,6,7,0,0,0,0,29
Dunnock,1,3,0,0,0,0,1
Eurasian Blackbird,59,4,20,0,5,0,9
Eurasian Blackcap,24,0,0,0,0,0,28
Eurasian Blue Tit,5,2,5,0,0,0,0
Eurasian Green Woodpecker,0,1,0,0,0,0,9
Eurasian Nuthatch,2,1,1,0,0,0,0
Eurasian Treecreeper,0,2,0,0,0,1,0
Eurasian Wren,49,28,20,154,107,20,112
European Goldfinch,1,0,0,0,0,0,0
European Robin,125,0,2,1,31,2,6
Goldcrest,0,16,0,0,0,0,8
Great Spotted Woodpecker,5,0,0,5,3,1,8
Marsh Tit,0,0,0,0,0,2,0
Mistle Thrush,0,0,1,0,0,0,0
Ring-necked Pheasant,2,0,5,0,0,0,0
Song Thrush,0,8,0,0,0,0,0
